,NoPerDay,measure,statistic,W1_err,W2_err,W3_err,QueueOutside_err,W1_err_pct,W2_err_pct,W3_err_pct,QueueOutside_err_pct
66,2050,Avg,mean,0.05555555555555555,0.05555555555555555,0.0,0.8961111111111113,0.00016206906881963625,0.0001620690688196362,0.0,0.8399297977850609
67,2050,Avg,std,0.22906251467127997,0.22906251467128,0.0,0.23561235778040696,0.0007711969001809815,0.0007711969001809815,0.0,0.3299667538150632
68,2050,90,mean,-0.836018518518462,-0.836018518518462,-1.436111111111106,0.8629916666666666,-0.5010024897176802,-0.5010024897176802,-1.2114039531402925,0.8031445578509181
69,2050,90,std,0.8293457126111129,0.8293457126111128,0.4935300588903872,0.27689996522000976,0.6967280873128717,0.6967280873128717,0.7021470473586673,0.36956139633745916
70,2050,95,mean,-0.9251851851851655,-0.9251851851851655,-1.6833333333333385,0.889155555555556,-0.552878867547499,-0.5528788675474989,-1.4339531330046218,0.799982267101863
71,2050,95,std,0.9153564288078984,0.9153564288078984,0.6820508194514092,0.2476896898252423,0.8075836702035705,0.8075836702035705,0.8516389011321545,0.37196339185785215
72,2100,Avg,mean,0.09615384615384616,0.09615384615384616,0.0,0.9202857142857144,0.0031324640965892853,0.003132464096589286,0.0,0.8528150738150738
73,2100,Avg,std,0.29480366744208386,0.2948036674420839,0.0,0.1610950686795286,0.014965334244389093,0.01496533424438909,0.0,0.307604374584175
74,2100,90,mean,-0.7322115384615419,-0.7322115384615419,-1.3772857142857118,0.907441428571429,-0.4385844183731023,-0.43858441837310225,-1.2415400005096624,0.8173722145943016
75,2100,90,std,0.852776238219377,0.8527762382193771,0.6021758463229161,0.21381866517006887,0.6755440830050804,0.6755440830050804,0.6890074263374861,0.351279798501579
76,2100,95,mean,-0.9730769230769231,-0.973076923076923,-1.7382857142857073,0.8703314285714289,-0.5247319700887657,-0.5247319700887657,-1.4856778686554706,0.8060465688462688
77,2100,95,std,0.9503319654614489,0.9503319654614487,0.51406488954356,0.2623362469767889,0.8004883284695735,0.8004883284695736,0.8122456197232871,0.3698658438363459
78,2150,Avg,mean,0.07692307692307693,0.07692307692307693,0.0,0.8902857142857142,0.0005092947759118688,0.0005092947759118688,0.0,0.8245127976190476
79,2150,Avg,std,0.2664707628268832,0.2664707628268832,0.0,0.2210568908453728,0.0021976254533697653,0.0021976254533697653,0.0,0.3424732287842852
80,2150,90,mean,-0.8402884615384806,-0.8402884615384806,-1.3617142857142772,0.8892342857142853,-0.4344127963576493,-0.4344127963576493,-1.2301309718267268,0.7953390157867585
81,2150,90,std,0.9699592339534796,0.9699592339534796,0.648368339083123,0.2291277737337388,0.6772503889394961,0.6772503889394961,0.7056959942324602,0.3724649800708597
82,2150,95,mean,-0.9876923076923056,-0.9876923076923056,-1.648000000000014,0.8878171428571425,-0.4818779443416475,-0.4818779443416475,-1.4300701234738757,0.7973751892854931
83,2150,95,std,1.0479790672138147,1.0479790672138147,0.7039387809840365,0.21605456009800375,0.7782859602884785,0.7782859602884785,0.8423987932104537,0.36600511563875526
84,2200,Avg,mean,0.1,0.1,0.0,0.9122857142857139,0.0009262075238535236,0.0009262075238535236,0.0,0.820073902288188
85,2200,Avg,std,0.30000171430040834,0.30000171430040834,0.0,0.22330229916440822,0.004078520910517417,0.004078520910517416,0.0,0.34480006520520556
